e0,e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,e11,e12,e13,e14,e15,e16,e17,e18,e19,e20,e21,e22,e23,e24,e25,e26,e27,e28,e29,e30,e31,e32,e33,e34,e35,e36,e37,e38,e39,e40,e41,e42,e43,e44,e45,e46,e47,e48,e49,integer,log_integer
1,0,0,1,0,2,3,0,0,4,0,4,2,1,0,0,4,4,1,3,3,1,3,1,3,4,4,4,3,3,4,4,2,0,4,1,4,3,0,0,0,0,0,4,4,0,0,4,3,4,858916651494761141281637790784985465107873960433006300080183849878728831321328106693568842154021013615003730582430460654002615251627866268692837162260797900306493791760362017283774523077412065502,448.85200974244157
3,4,2,4,2,0,3,0,0,2,0,1,4,2,1,1,0,4,0,2,4,1,2,0,3,4,4,2,1,0,0,4,4,3,0,3,2,3,3,0,4,3,0,1,0,3,1,4,3,2,190461216735578430183282437569610521806335464809347348734824149945442809695201789533544651368448934953594998400365450310021143636226420036018537665750972336401891869795091960345400,412.80701004709636
3,4,3,3,1,4,0,0,3,2,4,1,4,2,1,4,1,4,4,0,3,3,1,4,1,2,4,3,1,4,1,3,4,2,1,1,1,4,2,3,1,2,2,1,1,3,4,4,2,1,611604393295143502790985209413489052598612501026063282696032691321532757523603001316600838924931310790699035421608348146612860820970967861414949198424686626995142257358918280586698557254267477918838979096267000,483.05119990707834
0,2,2,2,4,4,0,3,1,1,1,1,1,1,0,3,2,4,3,4,0,0,0,0,2,4,0,2,0,2,2,2,0,1,3,2,4,0,3,3,2,0,1,2,3,3,2,4,4,1,13088394922057561595552904451167980893799761277200453148079035204955093427844549711768713819630956779724713622765559327945371444084679008126640679454820239470476336105275,389.40602157676744
0,4,1,0,1,4,0,1,4,2,0,1,4,0,0,3,2,2,2,3,1,3,3,3,3,3,4,0,0,4,4,4,4,4,1,1,0,0,2,4,3,2,3,0,2,1,2,1,0,0,26228855735103569747428176209300054780223524916565987886249598620041520628872283758680380048150262231040795403969653376146811882590990951481870824279309217337053950633320211005245,410.82442162859206
1,1,1,0,3,2,0,4,4,4,2,1,2,4,2,1,1,3,4,3,4,4,2,3,3,4,2,1,2,2,1,3,1,0,1,4,1,2,1,3,2,1,3,1,0,1,1,1,0,3,338690755530863309108536151496505782200229937752110440272224507461774597619191598911705656431129920900423738583298534515713380635863275091802805737736257745132480646776399961324128810,420.29040420440504
2,4,4,4,0,2,2,2,4,2,0,0,0,2,0,0,0,4,4,3,0,2,3,1,2,1,3,4,2,3,0,3,2,4,1,1,4,3,3,4,2,2,2,3,4,0,4,2,0,0,43893904734061129996668455865844195234550804881111871445426094025208441342239043614016743024878897270314500939965343888722454733943469524234021053412725863463677155658719760891385223627500,432.06260276300725
3,3,1,1,4,3,3,2,4,1,3,2,4,1,1,1,4,2,3,1,2,1,1,4,0,3,4,0,4,3,2,4,1,2,2,1,2,1,2,0,4,1,4,3,0,3,1,3,0,2,17490541205973417723173976954945622018114879838712488178714057958031894688701804328202166127968524323258088446978156966167082048764811069937854157716687816021273424172410562622447125286319560,438.05024280816417
4,4,4,0,2,4,0,2,0,4,4,3,2,3,0,4,1,0,2,0,3,4,1,2,1,0,2,3,0,3,3,1,4,4,2,4,1,3,1,2,3,4,1,4,0,0,2,3,4,4,1377454506487043125618698939285548434542366049523957269820299763075496443832031038931531965039440497332243721685737040539380482857002969196220922045857286972027292848611612301838697040944275306881390000,463.139840927159
4,3,3,3,3,2,4,0,1,1,4,3,3,3,4,4,1,3,4,4,2,1,3,1,4,0,3,4,4,0,4,4,0,1,1,0,3,0,1,0,0,4,4,3,0,2,3,4,3,4,187723056226256285462565612311694608416311253380428216140590940494138538431994745986494448785221803602290490705149195429321067634983506761261621483423554090278366613185007340656739954559141852230922089457226054000,488.7778373003139
1,2,4,2,4,3,0,4,0,4,1,3,0,0,4,0,3,2,3,3,2,3,3,4,2,0,4,0,1,4,2,2,1,4,2,3,1,1,4,2,1,0,2,0,1,1,0,4,0,0,745796322385685427247332832761679343122708812917168152763262743552832389163103486746902347731427269824497707810920428507162089759699042748200736744338802830054773069501250,393.4487481596323
3,2,4,2,3,2,0,2,1,0,2,2,1,2,1,1,3,0,1,1,4,1,0,3,4,2,3,3,1,0,4,3,3,0,4,2,0,3,2,4,4,3,1,4,2,4,0,4,0,3,1110650376917195615295541257027262593902856465020444891041074767300239704361065959120813566475800481301796540300930530149620859211972320344458064952804424071282261758586657558519825044315005000,442.20128362374453
2,4,1,0,3,4,1,4,2,1,4,1,4,2,4,0,1,4,2,1,3,1,3,2,2,1,0,1,3,2,4,3,2,3,0,0,2,0,3,2,4,3,4,1,2,4,1,4,0,2,29307683932489419315730618404718251993616766134943661207517459100751883857458710941455798219155612356231532424955111091329450765978856524885123897366654786832043275232713133179712038449026232660,445.4741875867538
2,1,4,2,4,4,2,1,3,4,2,2,4,3,4,3,0,3,2,3,0,3,2,4,1,0,3,4,1,1,1,0,3,0,3,3,0,4,0,2,2,2,2,4,3,1,4,4,4,4,4714693568205740784387270961273385119862781813394107700676545588334398160713118755746236552843706959847831548633965184002793343737280119610296631510277187225195870351501327405370409949146020055831538549020675702500,492.00130873086863
3,1,2,0,4,3,3,4,4,0,2,2,0,1,0,1,3,3,2,0,4,1,2,0,2,0,3,1,3,2,0,4,4,2,4,1,4,1,0,4,2,1,0,1,0,4,2,1,0,0,140687207145311603874268531036827373920621742008027563964007694572054238261851333379863408565528923034210307482014707360417482137141240604637571283953318335910200,371.05756882312096
1,3,2,2,3,4,3,3,1,2,2,2,2,4,1,0,1,0,1,3,1,4,1,1,1,0,0,1,1,0,1,0,2,2,3,0,0,0,2,4,4,3,2,3,4,3,0,3,4,1,9523068236447157923281539208716931713712487491959142376415624772729598681216899007001379944079553527379086417950440068607592184280337668174109167104051487615968950,375.27250215565766
3,4,3,2,0,2,4,2,1,4,2,2,1,4,3,1,3,1,1,0,1,1,3,3,0,4,4,4,0,2,4,3,0,0,0,3,3,4,1,0,1,3,3,0,2,4,2,4,3,4,18700306608785591860384582720994535509698521418013614316262131138289086105048088911231952675996826300927624129708539894152277546714628390785098377807987055564878747914052763274638143131894769353000,451.9326330537568
2,2,1,0,2,2,2,2,4,4,2,2,3,4,0,4,4,4,4,2,3,1,0,3,1,4,2,2,0,2,4,4,2,0,4,3,0,2,1,0,4,0,3,1,0,0,2,2,4,1,21625474895387127496094938053388769090433809270019178274745027776953998541356929426065393114426270389589659574419006013649112834195410539889164798677208639380280644758135004525324107135206020,438.2624545889318
2,4,1,2,1,4,3,3,2,0,3,3,0,3,3,4,3,2,3,4,2,4,0,4,2,0,1,2,1,3,3,1,3,3,4,1,1,0,4,2,3,4,3,1,0,1,4,0,3,1,25569714398285056816465299426820122474050688104655960157357712191389404117215150488442622756369672979446669281535772145612724657436757326093428622785871611811784055547287250127604621363019085563917220,459.15325703265563
